,movies,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1155643,85
1,Memento,2000,8.5,80,991943,85
2,Snatch,2000,8.3,55,693236,83
3,Requiem for a Dream,2000,8.3,68,673397,83
4,X-Men,2000,7.4,64,516669,74
5,Cast Away,2000,7.8,73,454808,78
6,American Psycho,2000,7.6,64,413578,76
7,Unbreakable,2000,7.3,62,304556,73
8,Meet the Parents,2000,7.0,73,286175,70
9,Mission: Impossible II,2000,6.1,59,279510,61
10,"O Brother, Where Art Thou?",2000,7.8,69,254281,78
11,Gone in Sixty Seconds,2000,6.5,35,239521,65
12,"Crouching Tiger, Hidden Dragon",2000,7.9,93,234937,79
13,The Patriot,2000,7.2,63,230580,72
14,Almost Famous,2000,7.9,90,229060,79
15,Pitch Black,2000,7.1,49,209990,71
16,Scary Movie,2000,6.2,48,208419,62
17,"Me, Myself & Irene",2000,6.6,49,204342,66
18,Final Destination,2000,6.7,36,203805,67
19,The Beach,2000,6.6,43,201376,66
20,Amores Perros,2000,8.1,83,200933,81
21,Traffic,2000,7.6,86,182723,76
22,Remember the Titans,2000,7.8,48,179367,78
23,What Women Want,2000,6.4,47,175533,64
24,How the Grinch Stole Christmas,2000,6.1,46,167916,61
25,Chocolat,2000,7.3,64,164410,73
26,Miss Congeniality,2000,6.2,43,160998,62
27,Charlie's Angels,2000,5.5,52,158941,55
28,Chicken Run,2000,7.0,88,158108,70
29,High Fidelity,2000,7.5,79,155291,75
30,Battle Royale,2000,7.7,81,155145,77
31,Erin Brockovich,2000,7.3,73,152789,73
32,The Emperor's New Groove,2000,7.3,70,152288,73
33,Road Trip,2000,6.5,55,145205,65
34,The Perfect Storm,2000,6.4,59,143739,64
35,"Dude, Where's My Car?",2000,5.5,30,126132,55
36,Hollow Man,2000,5.7,24,111982,57
37,Scream 3,2000,5.5,56,110378,55
38,Billy Elliot,2000,7.7,74,110238,77
39,Shanghai Noon,2000,6.6,77,108203,66
40,The 6th Day,2000,5.9,49,108132,59
41,What Lies Beneath,2000,6.6,51,107498,66
42,Pay It Forward,2000,7.2,40,104900,72
43,The Whole Nine Yards,2000,6.7,47,99779,67
44,In the Mood for Love,2000,8.1,85,99445,81
45,Coyote Ugly,2000,5.6,27,98676,56
46,Men of Honor,2000,7.2,56,98429,72
47,The Family Man,2000,6.7,42,94379,67
48,Frequency,2000,7.4,67,91948,74
49,Dancer in the Dark,2000,8.0,61,90056,80
50,Bedazzled,2000,6.0,49,89066,60
51,Little Nicky,2000,5.3,38,88866,53
52,The Cell,2000,6.3,40,87275,63
53,Bring It On,2000,6.0,52,78517,60
54,Finding Forrester,2000,7.3,62,77681,73
55,Malèna,2000,7.5,54,76499,75
56,Big Momma's House,2000,5.1,33,73998,51
57,The Road to El Dorado,2000,6.9,51,71482,69
58,Battlefield Earth,2000,2.4,9,71066,24
59,U-571,2000,6.6,62,70863,66
60,Space Cowboys,2000,6.4,73,66502,64
61,Mission to Mars,2000,5.6,34,65715,56
62,Shaft,2000,5.9,50,63652,59
63,Romeo Must Die,2000,6.1,52,61848,61
64,Wonder Boys,2000,7.4,73,57789,74
65,The Gift,2000,6.7,62,57195,67
66,Titan A.E.,2000,6.6,48,55407,66
67,Vertical Limit,2000,5.9,48,53962,59
68,The Crimson Rivers,2000,6.9,49,53059,69
69,The Replacements,2000,6.5,30,52964,65
70,Proof of Life,2000,6.2,45,52149,62
71,Red Planet,2000,5.7,34,51465,57
72,Best in Show,2000,7.5,78,50171,75
73,The Legend of Bagger Vance,2000,6.7,47,49634,67
74,Thirteen Days,2000,7.3,67,49482,73
75,Sexy Beast,2000,7.3,79,48661,73
76,Quills,2000,7.3,70,48150,73
77,Keeping the Faith,2000,6.4,60,47213,64
78,Boiler Room,2000,7.0,63,45391,70
79,Dinosaur,2000,6.5,56,45341,65
80,Nine Queens,2000,7.9,80,44380,79
81,Nutty Professor II: The Klumps,2000,4.4,38,44208,44
82,Rules of Engagement,2000,6.4,45,40770,64
83,28 Days,2000,6.0,46,39048,60
84,The Kid,2000,6.1,45,37237,61
85,Shadow of the Vampire,2000,6.9,71,36921,69
86,Ginger Snaps,2000,6.8,70,36873,68
87,Tigerland,2000,7.0,55,35666,70
88,Reindeer Games,2000,5.7,37,34309,57
89,Small Time Crooks,2000,6.7,69,33962,67
90,Chopper,2000,7.2,65,33932,72
91,Book of Shadows: Blair Witch 2,2000,4.0,15,32859,40
92,Next Friday,2000,6.1,41,32317,61
93,Nurse Betty,2000,6.2,69,31472,62
94,102 Dalmatians,2000,4.9,35,30364,49
95,Get Carter,2000,5.1,24,29957,51
96,Dracula 2000,2000,4.9,26,29643,49
97,Dungeons & Dragons,2000,3.7,14,29584,37
98,The Way of the Gun,2000,6.7,49,29564,67
99,Where the Heart Is,2000,6.8,30,29491,68
100,The Skulls,2000,5.6,24,29047,56
101,The Art of War,2000,5.7,30,26963,57
102,Vampire Hunter D: Bloodlust,2000,7.7,62,25826,77
103,You Can Count on Me,2000,7.6,85,25438,76
104,Pollock,2000,7.0,77,25099,70
